Time	Open	High	Low	Close	Volume
2010-08-17 00:00:00	1.03945	1.0448	1.0362	1.04435	302649	14
2010-08-18 00:00:00	1.04435	1.04525	1.0385	1.04375	200561	22
2010-08-19 00:00:00	1.04385	1.0465	1.0257	1.0319	315603	28
2010-08-20 00:00:00	1.03195	1.03925	1.0286	1.03385	212573	19
2010-08-22 00:00:00	1.03455	1.03615	1.03401	1.03485	10564	78
2010-08-23 00:00:00	1.03485	1.04235	1.03015	1.04185	214072	18
2010-08-24 00:00:00	1.04185	1.04505	1.0286	1.03125	254089	12
2010-08-25 00:00:00	1.03125	1.03285	1.02475	1.0298	266566	19
2010-08-26 00:00:00	1.0298	1.03185	1.0222	1.02415	263859	18
2010-08-27 00:00:00	1.0241	1.03045	1.02205	1.0278	188443	19
2010-08-29 00:00:00	1.02788	1.02905	1.02644	1.02835	13024	15
2010-08-30 00:00:00	1.02835	1.0309	1.0237	1.0252	170391	19
2010-08-31 00:00:00	1.0252	1.0259	1.0135	1.01555	290019	20
2010-09-01 00:00:00	1.01555	1.01815	1.00645	1.01655	272823	19
2010-09-02 00:00:00	1.01655	1.01845	1.00945	1.01345	192912	16
2010-09-03 00:00:00	1.01345	1.02385	1.01164	1.01605	150120	18
2010-09-05 00:00:00	1.01623	1.01775	1.01555	1.0172	8837	16
2010-09-06 00:00:00	1.0172	1.0183	1.00905	1.0094	163200	17
2010-09-07 00:00:00	1.0094	1.0147	1.0078	1.01115	247213	20
2010-09-08 00:00:00	1.01115	1.01395	1.00605	1.01135	258411	18
2010-09-09 00:00:00	1.01135	1.0167	1.01	1.0153	287770	22
2010-09-10 00:00:00	1.01525	1.02775	1.01345	1.0196	234102	12
2010-09-12 00:00:00	1.0193	1.0207	1.0179	1.01895	12245	138
2010-09-13 00:00:00	1.01895	1.01895	1.00671	1.00805	276277	18
2010-09-14 00:00:00	1.00805	1.00865	0.99325	0.9963	280274	17
2010-09-15 00:00:00	0.99625	1.00485	0.99475	1.00195	311948	21
2010-09-16 00:00:00	1.002	1.01705	0.9998	1.01585	251118	20
2010-09-17 00:00:00	1.01585	1.01825	1.00685	1.00965	281165	20
2010-09-19 00:00:00	1.00909	1.0109	1.00814	1.01055	6347	16
2010-09-20 00:00:00	1.0105	1.0118	1.0028	1.0044	227802	18
2010-09-21 00:00:00	1.0044	1.00745	0.99585	0.9962	238840	18
2010-09-22 00:00:00	0.99625	0.99825	0.98375	0.98685	238822	19
2010-09-23 00:00:00	0.98685	0.9899	0.9804	0.9866	242648	15
2010-09-24 00:00:00	0.98665	0.98825	0.97785	0.9835	231901	19
2010-09-26 00:00:00	0.9816	0.98515	0.9812	0.98365	10915	111
2010-09-27 00:00:00	0.9836	0.9871	0.98165	0.9857	266659	18
2010-09-28 00:00:00	0.98575	0.98775	0.97375	0.9762	252796	19
2010-09-29 00:00:00	0.97615	0.98145	0.97335	0.97666	224921	24
2010-09-30 00:00:00	0.97675	0.98425	0.9708	0.98205	220308	20
2010-10-01 00:00:00	0.98205	0.9828	0.9721	0.9736	201003	18
2010-10-03 00:00:00	0.9728	0.97655	0.9726	0.97555	7865	94
2010-10-04 00:00:00	0.97555	0.97895	0.97035	0.97175	230135	20
2010-10-05 00:00:00	0.9717	0.9738	0.96445	0.9653	205921	18
2010-10-06 00:00:00	0.96545	0.9684	0.95985	0.9624	206417	20
2010-10-07 00:00:00	0.96235	0.97005	0.95535	0.96605	194272	16
2010-10-08 00:00:00	0.9662	0.9697	0.9591	0.9627	194601	19
2010-10-10 00:00:00	0.9606	0.9621	0.9587	0.96205	6534	23
2010-10-11 00:00:00	0.962	0.9663	0.9594	0.9656	197835	24
2010-10-12 00:00:00	0.9656	0.97275	0.9554	0.95725	248130	21
2010-10-13 00:00:00	0.9572	0.9641	0.95445	0.957	227379	26
2010-10-14 00:00:00	0.957	0.957	0.9463	0.9555	244618	21
2010-10-15 00:00:00	0.9555	0.96015	0.94845	0.95865	164060	19
2010-10-17 00:00:00	0.95768	0.95915	0.95708	0.95885	7449	33
2010-10-18 00:00:00	0.95885	0.9649	0.95415	0.9595	290021	19
2010-10-19 00:00:00	0.9595	0.97555	0.9577	0.9716	303695	19
2010-10-20 00:00:00	0.9716	0.9716	0.95715	0.96195	224248	18
2010-10-21 00:00:00	0.9619	0.9691	0.96115	0.96815	257524	23
2010-10-22 00:00:00	0.96815	0.98045	0.96645	0.97705	227880	23
2010-10-24 00:00:00	0.97342	0.9784	0.97342	0.97759	36353	177
2010-10-25 00:00:00	0.97759	0.97827	0.96628	0.97337	155563	20
2010-10-26 00:00:00	0.97339	0.98816	0.97019	0.98461	78240	21
2010-10-27 00:00:00	0.98459	0.99285	0.98387	0.98927	87737	21
2010-10-28 00:00:00	0.98934	0.99001	0.98038	0.98406	95057	24
2010-10-29 00:00:00	0.98407	0.99102	0.98206	0.98222	76320	21
2010-10-31 00:00:00	0.98213	0.98288	0.98122	0.98199	11993	12
2010-11-01 00:00:00	0.98206	0.99707	0.9812	0.99192	87896	24
2010-11-02 00:00:00	0.99191	0.9932	0.9758	0.97945	84215	17
2010-11-03 00:00:00	0.9794	0.98232	0.96918	0.97214	87748	21
2010-11-04 00:00:00	0.97213	0.9737	0.95618	0.95796	85722	20
2010-11-05 00:00:00	0.95796	0.96406	0.95478	0.96126	78923	22
2010-11-07 00:00:00	0.96147	0.96254	0.96028	0.96049	5723	76
2010-11-08 00:00:00	0.96067	0.96814	0.9602	0.96743	84253	18
2010-11-09 00:00:00	0.96748	0.96964	0.95871	0.96855	87445	18
2010-11-10 00:00:00	0.96862	0.97672	0.96728	0.97055	86935	21
2010-11-11 00:00:00	0.97055	0.97865	0.96705	0.97631	87105	23
2010-11-12 00:00:00	0.97627	0.98132	0.97234	0.98073	84098	29
2010-11-14 00:00:00	0.97819	0.9805	0.97797	0.97926	1875	99
2010-11-15 00:00:00	0.97916	0.98709	0.97621	0.98512	51096	20
2010-11-16 00:00:00	0.9851	0.99765	0.98286	0.99631	55564	34
2010-11-17 00:00:00	0.99641	0.99759	0.98821	0.99065	46365	24
2010-11-18 00:00:00	0.99067	0.99975	0.98553	0.99539	50364	20
2010-11-19 00:00:00	0.99537	0.99966	0.98754	0.99217	42474	21
2010-11-21 00:00:00	0.99145	0.99364	0.99108	0.9923	2247	147
2010-11-22 00:00:00	0.99226	0.99405	0.98748	0.98783	40926	24
2010-11-23 00:00:00	0.98787	0.99745	0.98485	0.99658	51290	23
2010-11-24 00:00:00	0.99654	0.99885	0.98982	0.99446	50824	19
2010-11-25 00:00:00	0.99445	1.00197	0.9944	1.00019	56936	20
2010-11-26 00:00:00	1.0002	1.00533	0.99834	1.00276	41565	18
2010-11-28 00:00:00	1.00203	1.00348	1.0016	1.00285	2982	127
2010-11-29 00:00:00	1.0028	1.00456	0.99878	1.00116	82178	21
2010-11-30 00:00:00	1.00113	1.00427	0.99257	1.00271	150880	20
2010-12-01 00:00:00	1.0027	1.00659	0.99847	1.00286	136274	21
2010-12-02 00:00:00	1.00286	1.00534	0.98874	0.99269	122668	21
2010-12-03 00:00:00	0.99269	0.99498	0.97251	0.97336	104499	18
2010-12-05 00:00:00	0.97468	0.9758	0.97383	0.97497	4110	128
2010-12-06 00:00:00	0.97497	0.98739	0.97256	0.98213	129338	22
2010-12-07 00:00:00	0.98215	0.98838	0.97561	0.9879	112588	21
2010-12-08 00:00:00	0.98794	0.99149	0.98481	0.98637	114569	21
2010-12-09 00:00:00	0.98637	0.98948	0.98086	0.98326	120802	20
2010-12-10 00:00:00	0.98324	0.98408	0.97945	0.98045	89091	18
2010-12-12 00:00:00	0.98329	0.98382	0.98139	0.98181	3232	127
2010-12-13 00:00:00	0.98181	0.98507	0.96483	0.96789	119365	21
2010-12-14 00:00:00	0.96794	0.96898	0.95589	0.96099	140017	18
2010-12-15 00:00:00	0.96101	0.96954	0.9574	0.96729	142918	22
2010-12-16 00:00:00	0.96729	0.97335	0.96357	0.96457	134730	17
2010-12-17 00:00:00	0.96457	0.97194	0.95578	0.96833	126007	20
2010-12-19 00:00:00	0.96792	0.97106	0.9672	0.96979	3374	97
2010-12-20 00:00:00	0.96983	0.97202	0.96309	0.96477	131733	35
2010-12-21 00:00:00	0.96477	0.96493	0.95621	0.9579	134086	20
2010-12-22 00:00:00	0.9579	0.95872	0.95024	0.95137	137242	25
2010-12-23 00:00:00	0.95142	0.9664	0.94965	0.95744	111545	21
2010-12-24 00:00:00	0.95742	0.9634	0.95538	0.96174	45247	34
2010-12-26 00:00:00	0.96076	0.96391	0.96055	0.96354	2948	204
2010-12-27 00:00:00	0.96363	0.96454	0.95751	0.95867	74180	26
2010-12-28 00:00:00	0.95867	0.95872	0.94339	0.95191	112341	33
2010-12-29 00:00:00	0.95192	0.95321	0.94379	0.94467	84052	28
2010-12-30 00:00:00	0.94467	0.94487	0.93417	0.93459	81244	24
